,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-03 01:01:07, 6.271 sec,0.0,,,,,,
1,,2018-10-03 01:01:07, 6.351 sec,1.0,9701.120547253706,5520.179177740102,94111739.87234803,13428.784240523824,6861.170715902454,180332246.17854103
2,,2018-10-03 01:01:07, 6.461 sec,2.0,10763.818421155831,5704.88678480633,115859787.00361359,10471.162654212942,5873.869323160046,109645247.33098383
3,,2018-10-03 01:01:08, 6.535 sec,3.0,11365.51197380249,5957.382432245575,129174862.42664777,10021.852647698886,5394.660448306075,100437530.49218917
4,,2018-10-03 01:01:08, 6.609 sec,4.0,10729.038274864284,5825.933648627075,115112262.30350277,9830.962609415603,5103.333336375584,96647825.82772765
5,,2018-10-03 01:01:08, 6.681 sec,5.0,10214.220052108876,5539.455204873691,104330291.27290304,9901.891870721533,5038.561724226051,98047462.61946118
6,,2018-10-03 01:01:08, 6.753 sec,6.0,9394.661024103334,5198.887978980654,88259655.75780632,9551.187741309277,5011.4284325715535,91225187.26973662
7,,2018-10-03 01:01:08, 6.825 sec,7.0,9296.552217737144,5147.992837295304,86425883.13711342,9304.50955642603,4908.7309355181915,86573898.08562331
8,,2018-10-03 01:01:08, 6.899 sec,8.0,9190.401779360831,5146.377117060881,84463484.86607873,9212.137274682946,4810.396158093604,84863473.16760293
9,,2018-10-03 01:01:08, 6.970 sec,9.0,9127.004030452965,5026.35778762679,83302202.57190467,9164.039365761744,4742.644844094789,83979617.49723092
10,,2018-10-03 01:01:08, 7.046 sec,10.0,8839.870911432914,4885.4477267253615,78143317.73079778,8908.579470399496,4643.186784519659,79362788.18042336
11,,2018-10-03 01:01:08, 7.147 sec,11.0,8756.258601179461,4806.82509812567,76672064.69072929,8884.179525921381,4566.792433642288,78928645.84880064
12,,2018-10-03 01:01:08, 7.234 sec,12.0,8595.767894305935,4745.722568426771,73887225.69278067,8949.008713293806,4577.528791908906,80084756.95060848
13,,2018-10-03 01:01:08, 7.348 sec,13.0,8301.734797020184,4636.8196260178875,68918800.64005578,8850.100622294874,4610.395275475224,78324281.02474412
14,,2018-10-03 01:01:08, 7.448 sec,14.0,8107.169092410285,4549.616958373878,65726190.692932606,8884.644838708653,4620.510989954379,78936913.9099923
15,,2018-10-03 01:01:09, 7.540 sec,15.0,8097.442576267487,4620.971247252616,65568576.27594944,8875.52656462425,4569.292121216961,78774971.79935072
